Bourbon	Meta Critic	Reviewers	Cost
Ancient Age 10yo Kentucky Straight Bourbon	8.44	8	1.0
Ancient Age Kentucky Straight Bourbon	7.85	10	1.0
Angel's Envy Bourbon (Port-finished)	8.42	18	3.0
Angel's Envy Cask Strength	8.85	12	5.5
Baker's 7yo Single Barrel Bourbon	9.02	3	3.0
Baker's 7yo Small Batch Bourbon	8.73	25	3.0
Barrell 15yo Craft Spirits Bourbon (Batch 001)	8.81	4	5.5
Barrell Bourbon (all Batches)	8.79	16	4.0
Barton 1792 Full Proof Bourbon	8.66	13	3.0
Barton 1792 High Rye Bourbon	8.69	6	3.0
Barton 1792 Port Finished Bourbon	8.51	8	3.0
Barton 1792 Single Barrel Bourbon	8.48	7	3.0
Barton 1792 Small Batch Bourbon	8.5	23	2.0
Barton 1792 Sweet Wheat Bourbon	8.46	11	4.0
Basil Hayden's 10yo Bourbon	8.21	6	4.0
Basil Hayden's Kentucky Bourbon	8.29	23	2.0
Bernheim Original Straight Wheat 7yo Small Batch	8.41	21	2.0
Blanton's Gold Kentucky Straight Bourbon	8.67	22	4.0
Blanton's Original Bourbon Single Barrel	8.65	27	3.0
Blanton's Special Reserve Single Barrel (Green label)	8.31	8	3.0
Blanton's Straight from the Barrel Bourbon	8.96	16	4.0
Booker's Small Batch Straight Bourbon	8.76	29	3.0
Buffalo Trace Bourbon	8.55	29	2.0
Buffalo Trace Experimental Collection 12yo floor #1 (rye, 2014)	8.52	5	5.0
Buffalo Trace Experimental Collection 12yo floor #1 (wheat, 2015)	8.61	3	5.0
Buffalo Trace Experimental Collection 12yo floor #5 (rye, 2014)	9.05	5	5.0
Bulleit 10yo	8.5	19	3.0
Bulleit Bourbon Barrel Strength	8.56	9	4.0
Bulleit Bourbon	8.33	29	2.0
Colonel E.H. Taylor Four Grain	8.83	10	4.0
Colonel E.H. Taylor Single Barrel	8.8	14	4.0
Colonel E.H. Taylor Small Batch (BiB)	8.67	19	4.0
Colonel EH. Taylor Barrel Proof	8.93	13	4.0
Eagle Rare 10yo	8.64	29	2.0
Eagle Rare 17yo	8.88	18	5.5
Early Times BiB Kentucky Straight	8.71	5	1.0
Early Times Kentucky Whisky	7.09	7	1.0
Elijah Craig 12yo	8.66	27	2.0
Elijah Craig 18yo	8.76	16	5.0
Elijah Craig 21yo	9.17	6	5.5
Elijah Craig Barrel Proof	8.82	21	4.0
Elijah Craig Small Batch (NAS)	8.33	10	2.0
Elmer T. Lee Single Barrel Bourbon	8.75	20	3.0
Evan Williams (Black Label)	8.1	17	1.0
Evan Williams 1783 Small Batch	8.17	5	1.0
Evan Williams Bottled in Bond (White label)	8.32	16	1.0
Evan Williams Single Barrel	8.58	21	2.0
Ezra B 12yo Single Barrel	7.64	4	3.0
Ezra Brooks 7yo Old Ezra 101	8.64	8	2.0
Ezra Brooks Black Label	7.91	10	1.0
Four Roses (Yellow Label)	8.18	15	1.0
Four Roses Single Barrel Bourbon	8.7	27	3.0
Four Roses Small Batch Bourbon	8.51	20	2.0
Four Roses Small Batch Limited Edition	9.05	25	5.5
George Dickel No.12	8.19	20	2.0
George T Stagg	9.2	31	5.5
Heaven Hill 6yo BiB	8.35	11	1.0
Heaven Hill 7yo BiB	8.56	3	2.0
Heaven Hill Old Syle Bourbon (white label)	7.8	5	1.0
Heaven Hill Select Stock Barrel	8.89	3	5.0
Heaven Hill Trybox Series New Make	8.14	3	1.0
Henry McKenna 10yo Single Barrel BiB	8.74	14	2.0
Henry McKenna Straight Bourbon	8.11	4	1.0
High West American Prairie	8.37	11	3.0
Jack Daniel's 150th Anniversary	8.89	3	3.0
Jack Daniel's Gentleman Jack	7.93	17	2.0
Jack Daniel's Master Distiller (all series)	8.57	5	2.0
Jack Daniel's No. 27 Gold Double Barrelled	7.99	3	4.0
Jack Daniel's Old No. 7	7.89	18	2.0
Jack Daniel's Single Barrel Barrel Proof	8.65	15	4.0
Jack Daniel's Single Barrel	8.53	20	3.0
Jefferson's 18yo Presidential Select	8.81	10	5.5
Jefferson's Ocean Aged at Sea	8.73	4	4.0
Jefferson's Ocean	8.4	7	2.0
Jefferson's Reserve Very Old Kentucky Straight Bourbon	8.61	9	3.0
Jefferson's Very Small Batch Bourbon	7.91	8	2.0
Jim Beam 12yo Signature Craft	8.49	11	2.0
Jim Beam Black Label	8.17	19	1.0
Jim Beam Bonded	8.49	12	2.0
Jim Beam Devil's Cut	8.06	18	1.0
Jim Beam Distillers Masterpiece PX Sherry Cask Finish	8.25	8	5.0
Jim Beam Distillers Series	7.73	5	2.0
Jim Beam Double Oak	8.28	10	2.0
Jim Beam Red Stag (Black Cherry)	7.34	4	1.0
Jim Beam Single Barrel	8.59	4	2.0
Jim Beam White Label	7.63	22	1.0
Knob Creek Single Barrel Reserve Bourbon	8.76	19	3.0
Knob Creek Small Batch 9yo Bourbon	8.59	27	2.0
Larceny Small Batch Bourbon	8.34	17	2.0
Maker's Mark 101 Proof	8.53	4	4.0
Maker's Mark 46	8.61	25	3.0
Maker's Mark Cask Strength	8.72	18	4.0
Maker's Mark	8.19	29	2.0
Michter's 10yo Single Barrel Bourbon	8.83	17	5.5
Michter's 20yo Single Barrel Bourbon	9.14	7	5.5
Michter's Small Batch US*1 Bourbon	8.46	19	3.0
Michter's Sour Mash	8.47	6	3.0
Michter's Toasted Barrel	8.37	10	4.0
Old Fitzgerald BiB	8.22	11	3.0
Old Fitzgerald Kentucky Straight Bourbon	8.38	6	2.0
Old Forester 1870 Original Batch	8.26	3	3.0
Old Forester 1897 BiB	8.4	10	3.0
Old Forester 1920 Prohibition Style	8.78	13	4.0
Old Forester Birthday (all editions)	8.73	17	5.0
Old Forester Signature (100 Proof)	8.37	16	2.0
Old Forester Statesman	8.65	6	3.0
Old Forester	8.14	15	2.0
Old Grand-Dad Bourbon (80/86 Proof)	8.01	13	2.0
Old Grand-Dad Bourbon 100 BiB	8.43	15	2.0
Old Grand-Dad Bourbon 114	8.74	19	2.0
Old Rip Van Winkle 10yo	8.9	15	5.5
Old Weller Antique 107	8.7	20	2.0
Pappy Van Winkle Family Reserve Bourbon 15yo	9.22	14	5.5
Pappy Van Winkle Family Reserve Bourbon 20yo	9.19	17	5.5
Pappy Van Winkle Family Reserve Bourbon 23yo	8.85	9	5.5
Rebel Yell Kentucky Bourbon	7.55	14	1.0
Redemption High Rye Bourbon	7.82	7	2.0
Russell's Reserve Single Barrel	8.79	15	4.0
Russell's Reserve Small Batch 10yo Bourbon	8.57	20	2.0
Smooth Ambler Contradiction Bourbon	8.46	4	4.0
Smooth Ambler Old Scout 10yo Bourbon	8.42	9	4.0
Smooth Ambler Old Scout 7yo Bourbon	8.46	15	3.0
Smooth Ambler Old Scout Single Barrel Bourbon	8.81	11	4.0
Smooth Ambler Old Scout Yearling Bourbon	7.92	4	3.0
Stagg Jr (all batches)	8.73	25	4.0
Stagg Jr (batches 1-2)	8.37	16	4.0
Stagg Jr (batches 3+)	9.01	18	4.0
Stagg Jr batch 1 (134.4 proof)	8.41	17	4.0
Stagg Jr batch 10 (126.4 proof)	8.77	3	4.0
Stagg Jr batch 11 (127.9 proof)	8.9	3	4.0
Stagg Jr batch 2 (128.7 proof)	8.04	3	4.0
Stagg Jr batch 3 (132.1 proof)	8.8	8	4.0
Stagg Jr batch 4 (132.2 proof)	8.97	5	4.0
Stagg Jr batch 5 (129.7 proof)	8.98	4	4.0
Stagg Jr batch 7 (129.5 proof)	8.7	4	4.0
Stagg Jr batch 9 (116.8 proof)	9.01	3	4.0
Stagg Jr batch 9 (131.9 proof)	9.1	5	4.0
Tincup American Whiskey	8.18	9	2.0
Van Winkle Special Reserve 12yo Lot B	8.74	15	5.5
Very Old Barton 6yo BiB	8.33	6	2.0
Very Old Barton 6yo	8.32	9	1.0
W.L. Weller 12yo	8.84	19	5.0
W.L. Weller Special Reserve	8.38	16	1.0
Wild Turkey 101 Bourbon	8.45	27	2.0
Wild Turkey 14yo Tradition	8.79	5	5.0
Wild Turkey 15yo American Spirit	9.15	3	5.5
Wild Turkey 17yo Master's Keep	8.87	13	5.0
Wild Turkey 81 Bourbon	8.13	18	1.0
Wild Turkey Diamond Anniversary	8.76	8	5.0
Wild Turkey Forgiven	8.36	11	3.0
Wild Turkey Kentucky Spirit Single Barrel	8.81	18	3.0
Wild Turkey Longbranch	8.5	11	3.0
Wild Turkey Master's Keep Decades	8.84	11	5.0
Wild Turkey Master's Keep Revival	8.96	6	5.0
Wild Turkey Rare Breed	8.72	24	3.0
Willett Family Estate 11yo Bourbon	8.93	9	5.5
Willett Family Estate 13yo Bourbon	9.02	5	5.5
Willett Family Estate 14yo Bourbon	8.87	4	5.5
Willett Family Estate 17yo Bourbon	8.92	3	5.5
Willett Family Estate 22yo Bourbon	9.3	4	5.5
Willett Family Estate 24yo Bourbon	9.15	3	5.5
Willett Family Estate 5yo Bourbon	8.85	3	3.0
Willett Family Estate 7yo Bourbon	8.94	4	4.0
Willett Family Estate 8yo Bourbon	9.03	3	4.0
Willett Family Estate 9yo Bourbon	8.51	4	4.0
Willett Family Estate Bourbon (all ages)	9.01	20	4.0
Willett Pot Still Reserve	8.54	13	3.0
William Heavenhill BiB	8.98	6	5.5
William Larue Weller	9.18	22	5.5
Woodford Reserve Distiller's Select	8.37	24	2.0
Woodford Reserve Double Oaked	8.65	18	4.0
Yellowstone 2015 Limited Edition	8.34	4	5.0
Yellowstone 2016 Limited Edition	8.71	3	5.0
Yellowstone 2018 Limited Edition	8.82	3	5.0
Yellowstone Limited Edition (all vintages)	8.71	3	5.0
Yellowstone Select	8.23	9	3.0
